time, device, operation, ts, tr_data_tag, time_end, latency
0, 1, SEND, 128, 1, 18620, 18620
50, 2, SEND, 128, 2, 18670, 18620
100, 3, SEND, 128, 3, 18720, 18620
150, 1, SEND, 1024, 4, 167567, 167417
200, 2, REQUEST, 128, 1, 37240, 37040
210, 1, REQUEST, 128, 2, 37290, 37080
300, 3, SEND, 1024, 5, 167667, 167367
400, 3, SEND, 1024, 6, 316614, 316214
500, 3, SEND, 512, 7, 391089, 390589
1000, 1, REQUEST, 128, 3, 74480, 73480
1100, 2, REQUEST, 128, 3, 55860, 54760
2000, 3, SEND, 1024, 8, 540036, 538036
3000, 3, SEND, 1024, 9, 688983, 685983
4000, 3, SEND, 1024, 10, 837930, 833930
5000, 3, SEND, 1024, 11, 986877, 981877
6000, 3, SEND, 1024, 12, 1135824, 1129824
7000, 3, SEND, 1024, 13, 1284771, 1277771
8000, 3, SEND, 1024, 14, 684100386, 684092386
9000, 3, SEND, 1024, 15, 684249333, 684240333
10000, 3, SEND, 1024, 16, 1367064948, 1367054948
11000, 3, SEND, 1024, 17, 1367213895, 1367202895
11500, 2, REQUEST, 1024, 12, 1284771, 1273271
12000, 1, REQUEST, 1024, 10, 986877, 974877
12100, 3, REQUEST, 512, 7, 465564, 453464
1284771, 0, SEND, 1024, 4, 683951439, 682666668
684249333, 0, SEND, 1024, 5, 1366916001, 682666668
