time, device, operation, ts, tr_data_tag, time_end, latency
0, 1, SEND, 1024, 1, 148947, 148947
10000, 2, SEND, 1024, 2, 158947, 148947
20000, 1, SEND, 1024, 3, 297894, 277894
30000, 2, SEND, 1024, 4, 307894, 277894
40000, 1, SEND, 1024, 5, 446841, 406841
50000, 2, SEND, 1024, 6, 456841, 406841
60000, 1, SEND, 1024, 7, 595788, 535788
70000, 2, SEND, 1024, 8, 605788, 535788
80000, 1, SEND, 1024, 9, 744735, 664735
90000, 2, SEND, 1024, 10, 754735, 664735
100000, 1, SEND, 1024, 11, 683560350, 683460350
110000, 2, SEND, 1024, 12, 683560351, 683450351
120000, 1, SEND, 1024, 13, 1366375965, 1366255965
130000, 2, SEND, 1024, 14, 1366375966, 1366245966
140000, 1, SEND, 1024, 15, 2049191580, 2049051580
150000, 2, SEND, 1024, 16, 2049191581, 2049041581
160000, 3, REQUEST, 1024, 3, 446841, 286841
170000, 3, REQUEST, 1024, 12, 683709298, 683539298
180000, 3, REQUEST, 1024, 7, 754736, 574736
190000, 3, REQUEST, 1024, 6, 605788, 415788
200000, 3, REQUEST, 1024, 15, 2049340527, 2049140527
744735, 0, SEND, 1024, 1, 683411403, 682666668
683560350, 0, SEND, 1024, 2, 1366227018, 682666668
1366375965, 0, SEND, 1024, 4, 2049042633, 682666668
